[2025-01-27 16:04:53,740] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 4 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2025-01-27 16:06:49,842] INFO [ExpirationReaper-0-Fetch]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,842] INFO [ExpirationReaper-0-Fetch]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,842] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,974] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,974] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,974] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,984] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,984] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:49,984] INFO [ExpirationReaper-0-ElectLeader]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:50,173] INFO [ExpirationReaper-0-ElectLeader]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:50,173] INFO [ExpirationReaper-0-ElectLeader]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2025-01-27 16:06:50,176] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2025-01-27 16:06:50,177] INFO Shutting down. (kafka.log.LogManager)
[2025-01-27 16:06:50,194] INFO [ProducerStateManager partition=tp-meteo-0] Writing producer snapshot at offset 36 (kafka.log.ProducerStateManager)
[2025-01-27 16:06:50,197] INFO [ProducerStateManager partition=__consumer_offsets-3] Writing producer snapshot at offset 2 (kafka.log.ProducerStateManager)
[2025-01-27 16:06:50,199] INFO [ProducerStateManager partition=tp-meteo-final-0] Writing producer snapshot at offset 36 (kafka.log.ProducerStateManager)
[2025-01-27 16:06:50,208] INFO [ProducerStateManager partition=__consumer_offsets-34] Writing producer snapshot at offset 2 (kafka.log.ProducerStateManager)
[2025-01-27 16:06:50,214] INFO Shutdown complete. (kafka.log.LogManager)
[2025-01-27 16:06:50,222] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2025-01-27 16:06:50,326] INFO Session: 0x100001164fc0000 closed (org.apache.zookeeper.ZooKeeper)
[2025-01-27 16:06:50,327] INFO EventThread shut down for session: 0x100001164fc0000 (org.apache.zookeeper.ClientCnxn)
[2025-01-27 16:06:50,327] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2025-01-27 16:06:50,328] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,895] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,895] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,895] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,900] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,900] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,901] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,904] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,904] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2025-01-27 16:06:50,905] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2025-01-27 16:06:50,925] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2025-01-27 16:06:50,928] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
